epoch train_loss test_loss train_acc test_acc
1 20626949.59271407 5805433.95703125 0.2530600130558014 0.26499998569488525
epoch train_loss test_loss train_acc test_acc
2 18907496.783203125 3766392.388671875 0.31244000792503357 0.31520000100135803
epoch train_loss test_loss train_acc test_acc
3 16946591.732421875 5636440.21875 0.33739998936653137 0.28049999475479126
epoch train_loss test_loss train_acc test_acc
4 22284190.52734375 4748607.81640625 0.3460800051689148 0.35499998927116394
epoch train_loss test_loss train_acc test_acc
5 17462628.064453125 5633931.75390625 0.3775399923324585 0.298799991607666
epoch train_loss test_loss train_acc test_acc
6 19200150.973632812 6118806.5859375 0.38387998938560486 0.32280001044273376
epoch train_loss test_loss train_acc test_acc
7 15656362.388671875 4123484.1748046875 0.40035998821258545 0.3285999894142151
epoch train_loss test_loss train_acc test_acc
8 17118412.865234375 4649963.3984375 0.4025000035762787 0.33489999175071716
epoch train_loss test_loss train_acc test_acc
9 16228672.201171875 2962142.0546875 0.4191400110721588 0.3837999999523163
epoch train_loss test_loss train_acc test_acc
10 16630444.180664062 5143547.578125 0.42146000266075134 0.35199999809265137
epoch train_loss test_loss train_acc test_acc
11 15371170.942382812 4541575.6015625 0.44179999828338623 0.3853999972343445
epoch train_loss test_loss train_acc test_acc
12 14262528.500976562 5203385.89453125 0.4527600109577179 0.31130000948905945
epoch train_loss test_loss train_acc test_acc
13 15383852.181640625 3496023.1435546875 0.4438199996948242 0.38609999418258667
epoch train_loss test_loss train_acc test_acc
14 15304172.673828125 4400902.53515625 0.4496000111103058 0.3440000116825104
epoch train_loss test_loss train_acc test_acc
15 15192363.377929688 3769544.197265625 0.46244001388549805 0.37720000743865967
epoch train_loss test_loss train_acc test_acc
16 14463606.9296875 4885897.1796875 0.4682199954986572 0.3903000056743622
epoch train_loss test_loss train_acc test_acc
17 15119107.619140625 4314244.44921875 0.4735200107097626 0.3605000078678131
epoch train_loss test_loss train_acc test_acc
18 14489995.791015625 4492678.92578125 0.47481998801231384 0.38100001215934753
epoch train_loss test_loss train_acc test_acc
19 16817453.6328125 3958480.76953125 0.46917998790740967 0.41769999265670776
epoch train_loss test_loss train_acc test_acc
20 15763776.63671875 3894359.60546875 0.48232001066207886 0.4056999981403351
epoch train_loss test_loss train_acc test_acc
21 14522119.461914062 7017103.05859375 0.4968400001525879 0.3797999918460846
epoch train_loss test_loss train_acc test_acc
22 15872481.447265625 3988176.263671875 0.4925599992275238 0.4156999886035919
epoch train_loss test_loss train_acc test_acc
23 16545602.267578125 3420243.203125 0.4956200122833252 0.43970000743865967
epoch train_loss test_loss train_acc test_acc
24 16216273.86328125 3578990.06640625 0.4981600046157837 0.4341000020503998
epoch train_loss test_loss train_acc test_acc
25 17417389.009765625 8719917.859375 0.5001999735832214 0.357699990272522
epoch train_loss test_loss train_acc test_acc
26 16806186.286132812 5875795.30859375 0.5120800137519836 0.4083999991416931
epoch train_loss test_loss train_acc test_acc
27 16055430.18359375 3975296.78125 0.5202000141143799 0.43070000410079956
epoch train_loss test_loss train_acc test_acc
